2025-06-04 18:08:40,532 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a2025-06-04 18:16:22,579 - WARNING - Disconnected normally.
.5327175, 'v': 21.1}]}
2025-06-04 18:08:40,533 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053320.9311867, 'v': False}]}
2025-06-04 18:08:40,932 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/So2025-06-04 18:08:50,231 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan/7e2e63ef/statusChanged', 'e': [{'n': 'Exhaust_Fan', 'u': ' ', 't': 1749053330.2310967, 'v': False}]}
2025-06-04 18:08:54,243 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b/Sunshade_Net/f89cd694/statusChanged', 'e': [{'n': 'Sunshade_Net', 'u': ' ', 't': 1749053334.243436, 'v': False}]}
2025-06-04 18:08:56,546 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053336.5462966, 'v': 19.5}]}
2025-06-04 18:08:57,543 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053337.543054, 'v': 658.0}]}
2025-06-04 18:08:58,557 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053338.5572138, 'v': 66.5}]}
2025-06-04 18:08:58,558 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053338.5572138, 'v': 624.0}]}
2025-06-04 18:08:59,546 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053339.5462148, 'v': 984.0}]}
2025-06-04 18:09:01,538 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053341.5383377, 'v': 37.9}]}
2025-06-04 18:09:02,551 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053342.551297, 'v': 895.0}]}
2025-06-04 18:09:03,543 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053343.5433471, 'v': 54.4}]}
2025-06-04 18:09:04,557 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053344.5572155, 'v': 23.2}]}
2025-06-04 18:09:06,550 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053346.5497618, 'v': 43.8}]}
2025-06-04 18:09:06,550 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053346.5497618, 'v': 32.5}]}
2025-06-04 18:09:06,551 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053346.5497618, 'v': 406.0}]}
2025-06-04 18:09:07,558 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053347.558762, 'v': 582.0}]}
2025-06-04 18:09:07,560 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053347.558762, 'v': 33.4}]}
2025-06-04 18:09:08,552 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053348.552813, 'v': 30.8}]}
2025-06-04 18:09:12,569 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053352.569429, 'v': 32.6}]}
2025-06-04 18:09:13,564 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053353.5640082, 'v': 835.0}]}
2025-06-04 18:09:14,544 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053354.5448952, 'v': 27.0}]}
2025-06-04 18:09:16,569 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053356.5699215, 'v': 623.0}]}
2025-06-04 18:09:16,569 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053356.5699215, 'v': 56.1}]}
2025-06-04 18:09:18,560 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053358.5605273, 'v': 464.0}]}
2025-06-04 18:09:19,552 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053359.5529716, 'v': 42.9}]}
2025-06-04 18:09:19,554 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053359.5529716, 'v': 21.7}]}
2025-06-04 18:09:19,555 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053359.5529716, 'v': 214.0}]}
2025-06-04 18:09:20,582 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053360.582623, 'v': 18.6}]}
2025-06-04 18:09:22,542 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053362.5429156, 'v': 43.2}]}
2025-06-04 18:09:22,558 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053362.5580068, 'v': 53.2}]}
2025-06-04 18:09:24,570 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053364.570118, 'v': 857.0}]}
2025-06-04 18:09:25,570 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053365.5700974, 'v': 708.0}]}
2025-06-04 18:09:25,571 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053365.5700974, 'v': 59.2}]}
2025-06-04 18:09:26,548 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_D/Position_01/Soil_Moisture/a8830d33', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053366.5485125, 'v': 60.3}]}
2025-06-04 18:09:28,587 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053368.5878174, 'v': 37.1}]}
2025-06-04 18:09:31,548 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053371.5487018, 'v': 378.0}]}
2025-06-04 18:09:32,560 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053372.5598502, 'v': 36.0}]}
2025-06-04 18:09:32,560 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053372.5598502, 'v': 33.3}]}
2025-06-04 18:09:32,561 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053372.5598502, 'v': 78.8}]}
2025-06-04 18:09:34,581 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053374.5804446, 'v': 455.0}]}
2025-06-04 18:09:34,581 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053374.5804446, 'v': 45.7}]}
2025-06-04 18:09:35,572 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_02/CO2_Concentration/4b1e9d2f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053375.5728219, 'v': 656.0}]}
2025-06-04 18:09:36,562 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_03/Soil_Moisture/a7b8c6d4', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053376.5627887, 'v': 18.8}]}
2025-06-04 18:09:36,593 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053376.5937958, 'v': 22.2}]}
2025-06-04 18:09:37,573 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053377.5727057, 'v': 826.0}]}
2025-06-04 18:09:43,545 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_01/Temperature/9f42a1c3', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053383.545526, 'v': 44.3}]}
2025-06-04 18:09:43,592 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec', 'e': [{'n': 'CO2_Concentration', 'u': 'ppm', 't': 1749053383.592653, 'v': 644.0}]}
2025-06-04 18:09:43,593 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053383.592653, 'v': 47.0}]}
2025-06-04 18:09:44,595 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Temperature/580f8d2d', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053384.595685, 'v': 22.3}]}
2025-06-04 18:09:45,572 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_C/Position_05/Soil_Moisture/ffee552a', 'e': [{'n': 'Soil_Moisture', 'u': '%', 't': 1749053385.5715978, 'v': 66.2}]}
2025-06-04 18:09:45,574 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98 - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Temperature/d559dc98', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053385.5715978, 'v': 36.9}]}
2025-06-04 18:09:45,574 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_01/Light_Intensity/f47ac10b', 'e': [{'n': 'Light_Intensity', 'u': 'lx', 't': 1749053385.5715978, 'v': 577.0}]}
2025-06-04 18:12:10,178 - INFO - Publish to PoliTO_IotSmartFarm/Asdf/Temperature/b7f1edcc - {'bn': 'PoliTO_IotSmartFarm/Asdf/Temperature/b7f1edcc', 'e': [{'n': 'Temperature', 'u': 'Cel', 't': 1749053530.1775663, 'v': 36.9}]}
 18:09:14,835 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/Sunshade_Net - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/Sunshade_Net', 'e': [{'n': 'Sunshade_Net', 'u': 'lx', 't': 1749053354.83473, 'v': False}]}
2025-06-04 18:09:14,835 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/Light_Intensity/c3d47900/LED_Light', 'e': [{'n': 'LED_Light', 'u': 'lx', 't': 1749053354.8357317, 'v': False}]}
2025-06-04 18:09:16,859 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053356.8596513, 'v': False}]}
2025-06-04 18:09:16,859 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_03/CO2_Concentration/faf26dec/Carbon_Dioxide_Generator', 'e': [{'n': 'Carbon_Dioxide_Generator', 'u': 'ppm', 't': 1749053356.8596513, 'v': False}]}
2025-06-04 18:09:16,860 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_A/Position_02/Soil_Moisture/203045fb/Drip_Irrigation_Pipe', 'e': [{'n': 'Drip_Irrigation_Pipe', 'u': '%', 't': 1749053356.8606555, 'v': False}]}
2025-06-04 18:09:18,849 - INFO - Publish to Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan - {'bn': 'Torino_IotSmartFarm/Lingotto/Area_B/Position_06/CO2_Concentration/9947c72f/Exhaust_Fan', 'e': [{'n': 'Exhaust_Fan', 'u': 'ppm', 't': 1749053358.8496037, 'v': False}]}
